"","verified","Score1","Score2","Score3","Score4","Score5","Score6","Score7","Credibility"
"446",FALSE,0,"moderate",2,"new","high","low",1,"NC"
"447",FALSE,1,"moderate",2,"middle","high","moderate",1,"NC"
"448",FALSE,0,"low",2,"middle","low","low",2,"LC"
"449",FALSE,1,"high",2,"new","moderate","high",2,"NC"
"450",FALSE,0,"low",2,"old","high","high",1,"NC"
"451",FALSE,1,"high",2,"old","high","high",3,"HC"
"452",FALSE,0,"low",2,"middle","low","low",2,"LC"
"453",FALSE,0,"low",2,"middle","high","high",1,"NC"
"454",FALSE,1,"moderate",2,"new","high","low",1,"NC"
"455",FALSE,1,"high",2,"new","high","low",3,"HC"
"456",FALSE,0,"high",2,"new","low","low",2,"NC"
"457",FALSE,1,"moderate",2,"middle","low","moderate",2,"NC"
"458",FALSE,1,"moderate",2,"new","high","high",1,"NC"
"459",FALSE,1,"moderate",2,"new","low","high",2,"NC"
"460",FALSE,1,"low",2,"old","low","high",2,"NC"
"461",FALSE,1,"moderate",2,"new","low","moderate",2,"NC"
"462",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"463",FALSE,1,"moderate",2,"new","low","moderate",2,"NC"
"464",FALSE,1,"moderate",2,"new","moderate","moderate",2,"NC"
"465",FALSE,0,"low",2,"new","low","high",2,"LC"
"466",FALSE,1,"high",2,"new","high","moderate",3,"HC"
"467",FALSE,1,"moderate",2,"new","moderate","moderate",3,"NC"
"468",FALSE,1,"moderate",2,"new","moderate","high",3,"NC"
"469",FALSE,1,"high",2,"new","low","moderate",2,"NC"
"470",FALSE,1,"high",2,"middle","high","moderate",3,"HC"
"471",FALSE,1,"high",2,"middle","low","high",2,"NC"
"472",FALSE,1,"moderate",2,"new","moderate","high",2,"NC"
"473",FALSE,0,"low",2,"new","low","low",2,"LC"
"474",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"475",FALSE,0,"low",2,"middle","low","low",2,"LC"
"476",FALSE,1,"high",2,"new","low","moderate",2,"NC"
"477",FALSE,1,"moderate",2,"middle","low","high",2,"NC"
"478",FALSE,1,"moderate",2,"new","high","high",1,"NC"
"479",FALSE,1,"moderate",2,"new","low","moderate",2,"NC"
"480",FALSE,1,"moderate",2,"new","high","moderate",1,"NC"
"481",FALSE,1,"high",2,"middle","moderate","high",1,"NC"
"482",FALSE,0,"low",2,"middle","low","low",2,"LC"
"483",FALSE,0,"low",2,"middle","high","low",1,"NC"
"484",FALSE,0,"low",2,"middle","low","low",2,"LC"
"485",FALSE,1,"low",2,"middle","high","high",1,"NC"
"486",FALSE,1,"moderate",2,"new","high","moderate",1,"NC"
"487",FALSE,1,"moderate",2,"new","low","moderate",2,"NC"
"488",FALSE,1,"high",2,"new","moderate","high",2,"NC"
"489",FALSE,1,"moderate",2,"new","moderate","moderate",2,"NC"
"490",FALSE,1,"high",2,"middle","high","moderate",3,"HC"
"491",FALSE,1,"moderate",2,"middle","low","low",2,"NC"
"492",FALSE,1,"high",2,"new","high","high",3,"HC"
"493",FALSE,0,"low",2,"middle","low","low",2,"LC"
"494",FALSE,0,"low",2,"middle","high","low",1,"NC"
"495",FALSE,1,"high",2,"new","low","low",2,"NC"
"496",FALSE,1,"high",2,"new","high","high",3,"HC"
"497",FALSE,0,"moderate",2,"new","high","low",1,"NC"
"498",FALSE,1,"moderate",2,"new","low","high",2,"NC"
"499",FALSE,1,"high",2,"middle","high","high",3,"HC"
